                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.49164,                0.99098,                0.80889,                0.83608,                0.80623,                0.99115,                0.93517,                0.34981,                 1.3285,                 0.7565,             0.00038426,             0.00038426,             0.00038426
                     37,                0.52069,                0.94014,                0.78599,                0.84746,                0.83258,                  0.995,                0.93848,                0.36924,                 1.1965,                0.75544,             0.00037844,             0.00037844,             0.00037844
                     38,                0.50984,                0.99826,                 0.7996,                0.73895,                0.92308,                  0.995,                0.93258,                0.38038,                 1.0334,                0.75564,             0.00037262,             0.00037262,             0.00037262
                     39,                0.48975,                  1.015,                0.79673,                0.77026,                      1,                  0.995,                0.93561,                 0.3768,                0.92286,                0.75859,             0.00036679,             0.00036679,             0.00036679
                     40,                0.46724,                0.84301,                0.79638,                0.89145,                0.99621,                  0.995,                0.93631,                0.37217,                0.85733,                0.75785,             0.00036097,             0.00036097,             0.00036097
                     41,                0.51943,                0.97731,                0.82155,                0.91535,                0.93678,                  0.995,                0.91742,                 0.3767,                0.83702,                0.75609,             0.00035515,             0.00035515,             0.00035515
                     42,                0.54148,                0.94317,                0.79682,                0.91236,                0.95478,                  0.995,                0.91983,                0.37937,                0.79026,                0.75507,             0.00034933,             0.00034933,             0.00034933
                     43,                 0.5167,                0.90884,                0.78323,                0.92306,                      1,                  0.995,                0.92675,                 0.3728,                0.75449,                0.75232,             0.00034351,             0.00034351,             0.00034351
                     44,                0.47394,                 0.8598,                0.80696,                0.83646,                0.98841,                  0.995,                0.92892,                0.35255,                0.73308,                 0.7512,             0.00033769,             0.00033769,             0.00033769
                     45,                0.51244,                0.88645,                0.79721,                0.78484,                0.99319,                  0.995,                0.93498,                0.33713,                0.68207,                0.74825,             0.00033187,             0.00033187,             0.00033187
                     46,                0.50315,                0.89073,                0.80833,                0.76944,                0.99666,                  0.995,                0.92732,                0.35364,                0.67046,                0.75276,             0.00032605,             0.00032605,             0.00032605
